account_id,name,account_type,focus,region,linkedin_url,priority,why_it_matters,source_file,status
D-01,VDMA,association,Machinery association,Germany,https://www.linkedin.com/company/vdma/,high,Core industry audience for machinery decision-makers,plan/05-follow-list.csv,TARGET
D-02,Packaging Valley Germany e.V.,association,Packaging-machinery cluster,Baden-Württemberg,https://www.linkedin.com/company/packaging-valley-germany-e-v-/,high,Best cluster account for packaging-machine buyers and champions,01b-company-universe-expansion.csv,TARGET
D-03,Messe Düsseldorf,event,Trade fairs including interpack,Germany,https://www.linkedin.com/company/messe-duesseldorf/,medium,Fair organizer with packaging-industry reach,plan/05-follow-list.csv,TARGET
D-04,NürnbergMesse Group,event,FachPack and industrial fairs,Germany,https://www.linkedin.com/company/nuernbergmesse-group/,medium,Relevant packaging and industrial distribution channel,plan/05-follow-list.csv,TARGET
D-05,Fraunhofer IPA,ecosystem,Industrial automation and process research,Stuttgart,https://www.linkedin.com/company/fraunhofer-ipa/,medium,Credibility channel with machinery audience,01b-company-universe-expansion.csv,TARGET
D-06,Automation Region,cluster,Automation network,Baden-Württemberg,https://www.linkedin.com/company/automationregion/,medium,Regional network around industrial automation,plan/05-follow-list.csv,TARGET
D-07,Intralogistik-Netzwerk BW e.V.,association,Intralogistics cluster,Baden-Württemberg,https://www.linkedin.com/company/intralogistik-netzwerk-bw/,medium,Good adjacency for end-of-line and material-flow topics,01b-company-universe-expansion.csv,TARGET
D-08,Konradin Mediengruppe,media,Industrial publishing,Baden-Württemberg,https://www.linkedin.com/company/konradin-mediengruppe/,medium,Industrial media reach without direct software skew,01-company-universe.csv,TARGET
D-09,Industrieanzeiger,media,Industrial trade media,Baden-Württemberg,https://www.linkedin.com/company/industrieanzeiger/,medium,Media distribution into industrial operations and machinery,01b-company-universe-expansion.csv,TARGET
D-10,MM MaschinenMarkt,media,Machinery media,Germany,https://www.linkedin.com/company/maschinenmarkt/,medium,Trade media read by machinery audience,01b-company-universe-expansion.csv,TARGET
D-11,neue verpackung,media,Packaging media,Germany,https://www.linkedin.com/company/neue-verpackung/,high,Packaging-specific audience with buyer overlap,01b-company-universe-expansion.csv,TARGET
D-12,Easyfairs Germany,event,all about automation and trade events,Germany,https://www.linkedin.com/company/easyfairs-deutschland-gmbh/,low,Event audience for automation and machinery,01b-company-universe-expansion.csv,TARGET
D-13,Gerhard Schubert GmbH,manufacturer,Packaging systems audience,Baden-Württemberg,https://www.linkedin.com/company/gerhardschubertgmbhverpackungsmaschinen/,medium,Industrial manufacturer with broad packaging reach,01-company-universe.csv,TARGET
D-14,GEBHARDT Fördertechnik GmbH,manufacturer,Conveyor and intralogistics audience,Baden-Württemberg,https://www.linkedin.com/company/gebhardt-f-rdertechnik-gmbh/,medium,Useful audience overlap for end-of-line and interfaces,01-company-universe.csv,TARGET
D-15,dima - digitale maschinelle Fertigung,software-adjacent,Angebotsprozess content,Germany,https://www.linkedin.com/company/dima-digitale-maschinelle-fertigung/,low,Monitor only for quoting-process discussions and comments,01-company-universe.csv,TARGET
D-16,Markus Westermeier,individual voice,Angebotsprozess and Fertigungswissen,Germany,https://www.linkedin.com/in/markus-westermeier/,medium,One of the few active individual voices on Angebotsprozess pain,02-people-universe.csv,TARGET
